id,cluster_id,protected_attribute
1,2,Non-White
2,2,Non-White
3,1,Non-White
4,2,Non-White
5,1,White
6,7,White
7,3,White
8,7,Non-White
9,1,Non-White
10,2,Non-White
11,2,White
12,7,White
13,3,White
14,3,Non-White
15,2,Non-White
16,2,Non-White
17,1,White
18,3,White
19,1,Non-White
20,3,Non-White
21,1,Non-White
22,2,White
23,2,Non-White
24,7,White
25,3,Non-White
26,7,Non-White
27,3,Non-White
28,3,Non-White
29,7,Non-White
30,3,White
31,3,Non-White
32,3,Non-White
33,1,Non-White
34,7,Non-White
35,2,Non-White
36,3,Non-White
37,3,Non-White
38,7,Non-White
39,2,White
40,2,Non-White
41,3,Non-White
42,4,Non-White
43,2,Non-White
44,2,Non-White
45,2,Non-White
46,3,Non-White
47,2,White
48,7,White
49,3,White
50,7,Non-White
51,2,Non-White
52,7,Non-White
53,2,White
54,1,White
55,1,White
56,2,White
57,7,White
58,2,White
59,2,Non-White
60,7,Non-White
61,2,Non-White
62,2,White
63,7,White
64,2,White
65,2,White
66,7,White
67,1,Non-White
68,1,Non-White
69,3,Non-White
70,2,Non-White
71,3,White
72,2,Non-White
73,2,Non-White
74,1,Non-White
75,1,White
76,1,Non-White
77,2,Non-White
78,7,Non-White
79,5,White
80,2,Non-White
81,7,White
82,1,Non-White
83,1,White
84,7,Non-White
85,3,Non-White
86,2,Non-White
87,3,Non-White
88,1,Non-White
89,7,Non-White
90,2,Non-White
91,1,White
92,1,Non-White
93,7,Non-White
94,7,Non-White
95,2,Non-White
96,3,White
97,2,Non-White
98,1,Non-White
99,7,Non-White
100,7,White
101,7,White
102,3,White
103,3,Non-White
104,7,Non-White
105,2,Non-White
106,7,Non-White
107,3,Non-White
108,5,Non-White
109,2,White
110,7,White
111,3,Non-White
112,3,Non-White
113,7,Non-White
114,7,Non-White
115,3,Non-White
116,3,Non-White
117,1,Non-White
118,3,White
119,1,Non-White
120,3,White
121,2,Non-White
122,7,White
123,3,Non-White
124,3,Non-White
125,7,Non-White
126,1,Non-White
127,3,White
128,7,Non-White
129,1,Non-White
130,7,Non-White
131,3,Non-White
132,3,Non-White
133,1,Non-White
134,2,Non-White
135,2,Non-White
136,1,Non-White
137,2,Non-White
138,1,Non-White
139,2,Non-White
140,7,Non-White
141,7,Non-White
142,2,White
143,2,White
144,1,White
145,7,Non-White
146,1,Non-White
147,3,Non-White
148,1,White
149,3,White
150,3,White
151,2,Non-White
152,1,White
153,7,Non-White
154,3,Non-White
155,3,White
156,3,Non-White
157,2,White
158,7,White
159,7,Non-White
160,2,Non-White
161,3,Non-White
162,2,White
163,2,Non-White
164,1,Non-White
165,1,White
166,1,White
167,3,Non-White
168,2,White
169,2,Non-White
170,2,White
171,1,Non-White
172,3,Non-White
173,1,Non-White
174,2,White
175,1,White
176,1,Non-White
177,1,Non-White
178,3,White
179,1,Non-White
180,2,Non-White
181,1,Non-White
182,2,Non-White
183,2,White
184,1,Non-White
185,7,Non-White
186,3,White
187,3,White
188,1,White
189,1,White
190,1,Non-White
191,1,Non-White
192,7,White
193,1,Non-White
194,2,Non-White
195,3,White
196,7,Non-White
197,1,White
198,1,White
199,1,Non-White
200,3,Non-White
201,3,Non-White
202,1,Non-White
203,7,White
204,3,Non-White
205,7,Non-White
206,1,Non-White
207,1,White
208,3,White
209,7,Non-White
210,1,White
211,3,Non-White
212,3,Non-White
213,3,White
214,2,Non-White
215,2,Non-White
216,1,Non-White
217,2,Non-White
218,3,Non-White
219,3,White
220,7,White
221,7,Non-White
222,3,Non-White
223,7,Non-White
224,1,White
225,2,White
226,7,Non-White
227,2,White
228,2,Non-White
229,3,White
230,7,White
231,2,Non-White
232,1,White
233,3,Non-White
234,7,White
235,3,White
236,3,White
237,2,Non-White
238,2,Non-White
239,3,White
240,1,Non-White
241,3,Non-White
242,7,Non-White
243,1,White
244,2,Non-White
245,1,Non-White
246,2,White
247,2,Non-White
248,7,Non-White
249,2,White
250,3,Non-White
251,2,Non-White
252,1,Non-White
253,1,Non-White
254,2,Non-White
255,3,White
256,3,Non-White
257,3,White
258,1,White
259,7,White
260,3,Non-White
261,3,Non-White
262,3,Non-White
263,1,White
264,2,White
265,3,Non-White
266,7,White
267,2,White
268,3,Non-White
269,2,Non-White
270,7,White
271,3,Non-White
272,2,Non-White
273,3,White
274,1,White
275,7,White
276,1,White
277,3,Non-White
278,7,Non-White
279,1,White
280,7,Non-White
281,7,Non-White
282,2,Non-White
283,1,Non-White
284,1,Non-White
285,1,White
286,1,Non-White
287,3,White
288,3,White
289,1,White
290,7,Non-White
291,1,White
292,3,Non-White
293,2,White
294,3,Non-White
295,3,Non-White
296,2,White
297,3,White
298,3,Non-White
299,1,White
300,7,Non-White
301,1,Non-White
302,7,Non-White
303,3,Non-White
304,2,Non-White
305,1,White
306,1,Non-White
307,3,Non-White
308,3,Non-White
309,2,White
310,2,Non-White
311,7,Non-White
312,2,Non-White
313,1,White
314,3,Non-White
315,7,White
316,1,Non-White
317,3,White
318,1,Non-White
319,3,Non-White
320,3,Non-White
321,7,Non-White
322,7,White
323,2,Non-White
324,1,White
325,3,White
326,3,Non-White
327,1,Non-White
328,7,Non-White
329,7,White
330,3,Non-White
331,7,Non-White
332,7,White
333,1,Non-White
334,2,Non-White
335,3,Non-White
336,2,Non-White
337,3,Non-White
338,2,Non-White
339,2,White
340,7,White
341,3,White
342,7,White
343,2,Non-White
344,7,White
345,2,Non-White
346,2,White
347,3,Non-White
348,7,Non-White
349,1,Non-White
350,1,Non-White
351,7,White
352,1,White
353,1,Non-White
354,3,Non-White
355,2,Non-White
356,1,Non-White
357,1,Non-White
358,3,Non-White
359,3,Non-White
360,1,White
361,2,Non-White
362,2,White
363,1,Non-White
364,7,Non-White
365,5,Non-White
366,1,Non-White
367,1,Non-White
368,1,Non-White
369,7,White
370,7,Non-White
371,2,Non-White
372,1,Non-White
373,2,Non-White
374,1,Non-White
375,1,Non-White
376,2,White
377,7,Non-White
378,2,Non-White
379,3,Non-White
380,2,White
381,2,Non-White
382,1,Non-White
383,1,Non-White
384,2,Non-White
385,7,Non-White
386,3,White
387,3,Non-White
388,7,Non-White
389,2,Non-White
390,3,Non-White
391,3,Non-White
392,2,Non-White
393,3,White
394,1,White
395,1,Non-White
396,1,Non-White
397,2,White
398,3,Non-White
399,2,Non-White
400,2,White
401,3,White
402,2,Non-White
403,3,White
404,2,White
405,3,White
406,3,White
407,1,Non-White
408,7,Non-White
409,3,White
410,3,Non-White
411,2,Non-White
412,3,Non-White
413,1,Non-White
414,7,Non-White
415,7,Non-White
416,3,Non-White
417,3,White
418,7,Non-White
419,2,White
420,5,Non-White
421,3,Non-White
422,5,Non-White
423,1,Non-White
424,7,Non-White
425,1,Non-White
426,1,Non-White
427,7,Non-White
428,7,Non-White
429,3,Non-White
430,1,Non-White
431,2,Non-White
432,2,Non-White
433,1,Non-White
434,3,Non-White
435,7,Non-White
436,3,White
437,1,White
438,2,Non-White
439,7,Non-White
440,2,White
441,7,Non-White
442,2,White
443,3,Non-White
444,1,Non-White
445,3,White
446,3,White
447,2,Non-White
448,1,Non-White
449,7,Non-White
450,7,Non-White
451,1,White
452,2,Non-White
453,1,Non-White
454,3,Non-White
455,7,White
456,1,Non-White
457,3,Non-White
458,1,Non-White
459,1,Non-White
460,1,Non-White
461,7,White
462,2,Non-White
463,3,Non-White
464,2,White
465,1,Non-White
466,3,White
467,1,White
468,3,Non-White
469,1,White
470,2,Non-White
471,2,Non-White
472,2,Non-White
473,2,Non-White
474,2,Non-White
475,2,Non-White
476,2,Non-White
477,2,White
478,3,Non-White
479,1,White
480,1,Non-White
481,2,Non-White
482,3,Non-White
483,1,White
484,1,Non-White
485,2,Non-White
486,2,White
487,1,White
488,7,White
489,2,Non-White
490,3,White
491,2,Non-White
492,2,Non-White
493,1,White
494,2,Non-White
495,2,Non-White
496,2,Non-White
497,2,Non-White
498,2,Non-White
499,3,White
500,1,Non-White
501,7,Non-White
502,7,Non-White
503,3,White
504,1,Non-White
505,1,White
506,1,Non-White
507,1,Non-White
508,7,Non-White
509,2,Non-White
510,7,Non-White
511,2,Non-White
512,5,Non-White
513,3,Non-White
514,2,Non-White
515,7,White
516,1,White
517,1,White
518,3,White
519,3,Non-White
520,2,Non-White
521,1,Non-White
522,4,White
523,2,Non-White
524,2,Non-White
525,2,Non-White
526,5,Non-White
527,3,White
528,7,Non-White
529,1,Non-White
530,1,Non-White
531,1,Non-White
532,3,Non-White
533,1,White
534,2,Non-White
535,2,Non-White
536,7,Non-White
537,2,White
538,7,Non-White
539,2,Non-White
540,3,White
541,1,White
542,2,Non-White
543,1,White
544,7,White
545,3,White
546,3,Non-White
547,2,White
548,1,Non-White
549,2,Non-White
550,2,White
551,2,Non-White
552,1,Non-White
553,2,Non-White
554,1,Non-White
555,1,Non-White
556,2,Non-White
557,7,Non-White
558,1,Non-White
559,1,Non-White
560,7,White
561,7,White
562,1,Non-White
563,3,Non-White
564,7,Non-White
565,2,Non-White
566,7,Non-White
567,2,White
568,3,Non-White
569,1,Non-White
570,1,Non-White
571,6,Non-White
572,1,Non-White
573,3,Non-White
574,3,White
575,1,Non-White
576,1,Non-White
577,2,Non-White
578,7,Non-White
579,1,White
580,1,Non-White
581,1,Non-White
582,1,White
583,2,Non-White
584,7,Non-White
585,3,White
586,3,Non-White
587,3,Non-White
588,1,White
589,3,White
590,3,Non-White
591,7,White
592,2,Non-White
593,1,White
594,1,Non-White
595,3,Non-White
596,1,White
597,7,Non-White
598,2,Non-White
599,7,Non-White
600,3,Non-White
601,1,Non-White
602,7,White
603,1,Non-White
604,1,White
605,3,Non-White
606,7,Non-White
607,2,Non-White
608,1,Non-White
609,3,White
610,1,White
611,3,White
612,3,Non-White
613,1,Non-White
614,3,White
615,1,White
616,3,White
617,3,Non-White
618,7,White
619,2,Non-White
620,3,White
621,7,White
622,2,Non-White
623,1,Non-White
624,3,Non-White
625,3,Non-White
626,2,Non-White
627,1,White
628,2,Non-White
629,2,Non-White
630,1,Non-White
631,3,White
632,3,Non-White
633,3,White
634,2,White
635,2,Non-White
636,2,White
637,7,White
638,3,Non-White
639,7,White
640,1,White
641,2,Non-White
642,3,Non-White
643,1,White
644,1,White
645,2,Non-White
646,2,Non-White
647,3,Non-White
648,1,Non-White
649,5,White
650,1,White
651,7,Non-White
652,2,Non-White
653,7,White
654,3,White
655,1,White
656,7,Non-White
657,3,White
658,1,White
659,7,Non-White
660,1,White
661,7,Non-White
662,3,White
663,1,Non-White
664,7,Non-White
665,7,Non-White
666,1,Non-White
667,3,Non-White
668,3,Non-White
669,2,Non-White
670,1,Non-White
671,1,Non-White
672,1,White
673,2,Non-White
674,7,Non-White
675,3,Non-White
676,7,Non-White
677,2,Non-White
678,1,White
679,3,Non-White
680,3,White
681,2,Non-White
682,3,Non-White
683,3,White
684,3,White
685,3,Non-White
686,2,Non-White
687,1,Non-White
688,2,Non-White
689,3,White
690,3,Non-White
691,1,Non-White
692,3,Non-White
693,7,White
694,1,Non-White
695,3,Non-White
696,7,White
697,7,Non-White
698,7,Non-White
699,1,White
700,3,Non-White
701,2,Non-White
702,1,Non-White
703,1,Non-White
704,2,Non-White
705,2,Non-White
706,2,White
707,2,Non-White
708,3,Non-White
709,3,Non-White
710,2,Non-White
711,3,White
712,7,White
713,1,Non-White
714,1,Non-White
715,7,White
716,2,Non-White
717,3,Non-White
718,3,White
719,2,Non-White
720,3,White
721,1,White
722,2,White
723,7,Non-White
724,3,White
725,7,Non-White
726,2,White
727,3,Non-White
728,1,Non-White
729,1,Non-White
730,3,Non-White
731,3,White
732,2,Non-White
733,7,Non-White
734,3,Non-White
735,3,Non-White
736,1,Non-White
737,7,White
738,1,Non-White
739,7,Non-White
740,1,Non-White
741,1,Non-White
742,3,White
743,2,White
744,2,White
745,3,Non-White
746,2,White
747,1,Non-White
748,7,White
749,1,Non-White
750,1,Non-White
751,7,White
752,2,Non-White
753,7,White
754,7,Non-White
755,3,Non-White
756,3,Non-White
757,7,Non-White
758,3,Non-White
759,7,White
760,7,White
761,3,Non-White
762,1,White
763,2,Non-White
764,3,Non-White
765,2,Non-White
766,7,Non-White
767,3,Non-White
768,7,Non-White
769,3,White
770,3,White
771,2,Non-White
772,3,Non-White
773,1,Non-White
774,3,White
775,3,Non-White
776,1,White
777,1,Non-White
778,2,Non-White
779,3,Non-White
780,1,Non-White
781,2,White
782,3,Non-White
783,1,White
784,3,White
785,3,Non-White
786,3,White
787,1,Non-White
788,2,Non-White
789,3,White
790,7,Non-White
791,3,Non-White
792,7,White
793,7,Non-White
794,7,Non-White
795,1,White
796,2,Non-White
797,3,Non-White
798,7,Non-White
799,7,White
800,2,White
801,7,Non-White
802,2,Non-White
803,2,Non-White
804,7,Non-White
805,2,Non-White
806,3,Non-White
807,3,White
808,3,White
809,3,Non-White
810,1,White
811,2,Non-White
812,2,Non-White
813,3,White
814,3,Non-White
815,2,Non-White
816,2,White
817,5,Non-White
818,2,Non-White
819,1,Non-White
820,2,White
821,2,Non-White
822,3,Non-White
823,1,Non-White
824,7,White
825,7,White
826,3,Non-White
827,5,Non-White
828,2,Non-White
829,2,Non-White
830,3,Non-White
831,1,White
832,7,Non-White
833,2,White
834,7,Non-White
835,7,Non-White
836,2,White
837,2,Non-White
838,7,Non-White
839,7,White
840,2,Non-White
841,7,White
842,3,White
843,2,Non-White
844,2,Non-White
845,3,Non-White
846,7,Non-White
847,3,White
848,2,White
849,2,Non-White
850,7,Non-White
851,3,Non-White
852,2,White
853,2,White
854,1,Non-White
855,2,White
856,1,Non-White
857,2,Non-White
858,7,White
859,2,Non-White
860,3,Non-White
861,2,White
862,3,White
863,1,White
864,3,White
865,1,White
866,2,White
867,1,White
868,3,White
869,2,White
870,7,Non-White
871,2,Non-White
872,3,White
873,2,Non-White
874,2,Non-White
875,3,Non-White
876,3,Non-White
877,3,White
878,2,Non-White
879,2,Non-White
880,7,Non-White
881,7,Non-White
882,1,White
883,2,Non-White
884,3,Non-White
885,1,White
886,7,White
887,1,White
888,7,Non-White
889,7,Non-White
890,3,White
891,7,Non-White
892,3,Non-White
893,3,Non-White
894,2,White
895,3,Non-White
896,3,Non-White
897,1,Non-White
898,3,White
899,3,White
900,2,Non-White
901,1,Non-White
902,1,Non-White
903,3,Non-White
904,3,White
905,7,Non-White
906,3,Non-White
907,3,White
908,3,Non-White
909,3,White
910,2,White
911,1,Non-White
912,2,White
913,2,White
914,7,White
915,1,Non-White
916,7,Non-White
917,7,Non-White
918,2,Non-White
919,3,Non-White
920,3,Non-White
921,1,White
922,3,Non-White
923,3,White
924,1,Non-White
925,1,Non-White
926,3,Non-White
927,3,Non-White
928,7,Non-White
929,2,Non-White
930,3,Non-White
931,3,Non-White
932,7,Non-White
933,1,Non-White
934,7,White
935,1,Non-White
936,7,White
937,2,Non-White
938,1,Non-White
939,3,White
940,2,Non-White
941,7,White
942,7,Non-White
943,3,Non-White
944,3,Non-White
945,2,Non-White
946,1,Non-White
947,7,Non-White
948,3,Non-White
949,2,Non-White
950,7,Non-White
951,1,Non-White
952,3,Non-White
953,2,White
954,3,White
955,7,Non-White
956,2,White
957,1,Non-White
958,3,Non-White
959,3,White
960,3,White
961,3,White
962,3,Non-White
963,7,Non-White
964,2,Non-White
965,7,Non-White
966,1,White
967,3,Non-White
968,2,White
969,7,Non-White
970,2,Non-White
971,3,White
972,1,White
973,7,White
974,1,Non-White
975,3,White
976,1,White
977,2,Non-White
978,1,White
979,7,Non-White
980,3,Non-White
981,3,Non-White
982,3,Non-White
983,7,Non-White
984,7,Non-White
985,3,Non-White
986,1,White
987,1,Non-White
988,7,Non-White
989,7,Non-White
990,1,White
991,2,White
992,1,Non-White
993,3,Non-White
994,1,Non-White
995,2,White
996,1,Non-White
997,2,Non-White
998,2,Non-White
999,1,White
1000,2,White
1001,2,White
1002,7,White
1003,7,Non-White
1004,3,Non-White
1005,1,Non-White
1006,3,White
1007,7,White
1008,1,Non-White
1009,7,Non-White
1010,7,Non-White
1011,3,Non-White
1012,2,White
1013,1,White
1014,2,Non-White
1015,1,White
1016,7,White
1017,2,Non-White
1018,2,Non-White
1019,2,White
1020,7,White
1021,1,Non-White
1022,3,White
1023,1,Non-White
1024,1,Non-White
1025,1,Non-White
1026,7,White
1027,3,Non-White
1028,7,White
1029,2,Non-White
1030,3,Non-White
1031,3,Non-White
1032,1,Non-White
1033,1,Non-White
1034,1,Non-White
1035,3,Non-White
1036,3,White
1037,1,Non-White
1038,3,Non-White
1039,2,Non-White
1040,1,Non-White
1041,1,Non-White
1042,2,Non-White
1043,2,Non-White
1044,2,Non-White
1045,1,Non-White
1046,2,White
1047,3,White
1048,7,Non-White
1049,2,Non-White
1050,1,Non-White
1051,7,White
1052,7,White
1053,7,Non-White
1054,1,White
1055,3,Non-White
1056,1,White
1057,7,Non-White
1058,3,Non-White
1059,3,White
1060,3,White
1061,3,Non-White
1062,1,White
1063,2,Non-White
1064,1,Non-White
1065,1,White
1066,7,White
1067,7,Non-White
1068,3,Non-White
1069,3,Non-White
1070,1,White
1071,2,Non-White
1072,3,Non-White
1073,1,White
1074,3,White
1075,2,White
1076,2,Non-White
1077,7,Non-White
1078,3,Non-White
1079,1,Non-White
1080,3,White
1081,1,Non-White
1082,1,White
1083,2,White
1084,1,Non-White
1085,2,Non-White
1086,7,Non-White
1087,1,Non-White
1088,2,Non-White
1089,2,Non-White
1090,2,Non-White
1091,3,White
1092,7,Non-White
1093,2,Non-White
1094,7,White
1095,7,White
1096,3,Non-White
1097,1,Non-White
1098,3,Non-White
1099,3,Non-White
1100,3,White
1101,3,Non-White
1102,7,White
1103,2,Non-White
1104,7,White
1105,1,Non-White
1106,3,Non-White
1107,2,White
1108,3,Non-White
1109,7,Non-White
1110,7,Non-White
1111,5,Non-White
1112,2,White
1113,7,Non-White
1114,1,Non-White
1115,7,White
1116,1,Non-White
1117,2,Non-White
