id,cluster_id,protected_attribute
1,8,F
2,8,F
3,3,F
4,4,F
5,3,F
6,2,M
7,3,M
8,8,F
9,4,M
10,4,M
11,7,F
12,3,F
13,4,M
14,7,M
15,4,M
16,4,F
17,2,F
18,3,F
19,6,M
20,3,M
21,4,M
22,4,M
23,4,M
24,7,M
25,3,F
26,6,F
27,7,M
28,4,M
29,3,M
30,6,M
31,7,M
32,4,M
33,4,M
34,3,M
35,4,M
36,3,F
37,4,M
38,2,M
39,7,F
40,2,F
41,6,F
42,7,M
43,4,M
44,3,M
45,6,F
46,8,F
47,6,F
48,4,M
49,4,M
50,8,F
51,7,F
52,3,F
53,7,M
54,3,F
55,3,F
56,3,F
57,4,F
58,4,M
59,3,M
60,4,F
61,3,F
62,7,F
63,3,F
64,7,F
65,7,F
66,4,F
67,3,M
68,8,F
69,3,F
70,2,F
71,4,M
72,3,M
73,8,F
74,4,M
75,5,F
76,3,M
77,6,M
78,7,F
79,3,M
80,6,F
81,3,M
82,7,M
83,8,F
84,4,M
85,3,F
86,8,F
87,8,F
88,4,F
89,6,M
90,6,M
91,8,F
92,4,F
93,8,F
94,3,F
95,2,M
96,3,F
97,4,M
98,8,F
99,7,F
100,3,F
101,6,M
102,4,M
103,7,M
104,6,F
105,4,M
106,3,F
107,8,F
108,4,M
109,7,M
110,4,F
111,2,M
112,3,F
113,2,F
114,4,M
115,3,M
116,4,M
117,7,M
118,4,M
119,6,M
120,2,M
121,4,F
122,2,M
123,4,F
124,6,M
125,3,F
126,7,M
127,3,F
128,3,F
129,1,M
130,2,M
131,1,F
132,1,F
133,6,F
134,6,F
135,1,M
136,1,F
137,1,M
138,1,F
139,9,M
140,4,F
141,1,M
142,3,M
143,3,F
144,7,F
145,1,M
146,3,F
147,1,F
148,7,F
149,1,M
150,3,M
151,1,M
152,3,M
153,3,F
154,1,M
155,7,F
156,3,M
157,2,M
158,3,F
159,4,M
160,7,M
161,1,M
162,8,M
163,1,M
164,3,M
165,8,M
166,6,M
167,3,M
168,4,F
169,1,F
170,4,F
171,1,M
172,4,M
173,7,M
174,1,F
175,3,F
176,3,M
177,7,F
178,8,M
179,6,M
180,3,M
181,6,M
182,3,M
183,4,F
184,5,F
185,2,F
186,2,M
187,3,M
188,4,M
189,8,F
190,3,M
191,6,F
192,3,F
193,6,M
194,3,M
195,4,M
196,4,F
197,4,M
198,3,M
199,2,F
200,7,F
201,4,F
202,3,F
203,3,F
204,6,F
205,3,F
206,6,F
207,8,F
208,6,F
209,7,F
210,8,F
211,6,F
212,6,M
213,4,F
214,6,M
215,6,F
216,4,F
217,6,F
218,6,M
219,3,F
220,3,F
221,8,F
222,1,F
223,4,F
224,7,M
225,4,F
226,6,F
227,2,F
228,3,M
229,6,M
230,3,F
231,2,F
232,3,M
233,6,M
234,9,M
235,6,M
236,6,M
237,9,M
238,2,F
239,7,F
240,1,M
241,6,M
242,7,M
243,1,M
244,7,M
245,1,F
246,4,M
247,3,M
248,6,M
249,8,M
250,4,M
251,8,M
252,3,M
253,8,M
254,3,M
255,7,M
256,8,M
257,7,F
258,6,M
259,2,M
260,1,F
261,2,F
262,3,M
263,7,M
264,3,F
265,1,F
266,2,M
267,7,M
268,3,F
269,6,M
270,1,F
271,6,F
272,4,F
273,3,F
274,4,M
275,3,F
276,7,F
277,5,F
278,6,M
279,6,F
280,6,M
281,6,M
282,6,M
283,3,F
284,3,F
285,3,F
286,3,M
287,4,F
288,2,F
289,2,M
290,2,M
291,3,M
292,4,F
293,6,F
294,2,F
295,2,M
296,7,M
297,1,F
298,6,F
299,4,F
300,2,M
301,6,F
302,7,M
303,4,F
304,4,F
305,6,M
306,2,F
307,4,M
308,5,M
309,7,M
310,6,F
311,1,F
312,6,F
313,3,M
314,6,F
315,2,F
316,5,F
317,1,F
318,6,F
319,7,F
320,7,F
321,6,F
322,6,F
323,3,F
324,4,F
325,4,F
326,7,M
327,4,M
328,7,M
329,6,F
330,4,F
331,7,M
332,2,F
333,1,F
334,1,F
335,1,F
336,2,F
337,2,F
338,1,F
339,2,F
340,3,F
341,3,F
342,1,M
343,2,M
344,1,F
345,3,F
346,2,F
347,2,M
348,7,M
349,4,F
350,7,M
351,7,M
352,7,M
353,8,M
354,8,M
355,7,M
356,7,F
357,7,F
358,7,F
359,3,M
360,4,F
361,7,F
362,9,M
363,3,F
364,4,F
365,7,F
366,3,M
367,7,M
368,1,F
369,3,F
370,3,F
371,8,F
372,9,M
373,3,F
374,6,F
375,4,F
376,3,F
377,4,F
378,3,F
379,4,F
380,6,F
381,4,M
382,8,M
383,3,M
384,1,M
385,6,M
386,3,F
387,8,F
388,1,F
389,3,F
390,1,F
391,6,M
392,4,M
393,3,M
394,7,M
395,3,M
