id,cluster_id,protected_attribute
1,4,F
2,1,F
3,6,F
4,2,F
5,8,F
6,6,M
7,3,M
8,8,F
9,2,M
10,8,M
11,2,F
12,8,F
13,8,M
14,3,M
15,8,M
16,2,F
17,6,F
18,8,F
19,1,M
20,6,M
21,8,M
22,8,M
23,8,M
24,1,M
25,1,F
26,1,F
27,6,M
28,1,M
29,8,M
30,6,M
31,8,M
32,2,M
33,2,M
34,3,M
35,3,M
36,6,F
37,2,M
38,6,M
39,3,F
40,6,F
41,7,F
42,9,M
43,2,M
44,1,M
45,7,F
46,6,F
47,6,F
48,2,M
49,8,M
50,3,F
51,3,F
52,2,F
53,1,M
54,8,F
55,8,F
56,2,F
57,2,F
58,6,M
59,8,M
60,2,F
61,2,F
62,1,F
63,3,F
64,3,F
65,3,F
66,2,F
67,8,M
68,1,F
69,1,F
70,6,F
71,3,M
72,1,M
73,3,F
74,8,M
75,6,F
76,8,M
77,3,M
78,8,F
79,3,M
80,9,F
81,8,M
82,3,M
83,1,F
84,3,M
85,8,F
86,6,F
87,1,F
88,2,F
89,6,M
90,1,M
91,1,F
92,6,F
93,3,F
94,8,F
95,3,M
96,6,F
97,6,M
98,3,F
99,6,F
100,8,F
101,9,M
102,2,M
103,3,M
104,7,F
105,2,M
106,9,F
107,6,F
108,6,M
109,9,M
110,2,F
111,6,M
112,6,F
113,7,F
114,6,M
115,1,M
116,6,M
117,2,M
118,6,M
119,9,M
120,8,M
121,8,F
122,6,M
123,8,F
124,6,M
125,3,F
126,1,M
127,8,F
128,3,F
129,6,M
130,6,M
131,8,F
132,9,F
133,9,F
134,6,F
135,3,F
136,6,F
137,1,M
138,9,F
139,3,M
140,6,F
141,1,M
142,3,F
143,1,M
144,9,F
145,9,F
146,1,F
147,1,M
148,6,F
149,4,F
150,6,M
151,7,F
152,2,M
153,1,M
154,2,F
155,1,F
156,7,M
157,8,F
158,3,F
159,8,F
160,6,F
161,1,F
162,7,M
163,1,M
164,4,M
165,1,M
166,8,F
167,1,M
168,8,F
169,4,M
170,7,M
171,9,F
172,1,M
173,4,M
174,1,M
175,9,M
176,4,M
177,1,M
178,4,M
179,1,M
180,4,M
181,1,M
182,2,F
183,3,F
184,2,F
185,1,M
186,2,M
187,1,M
188,3,F
189,2,F
190,8,M
191,8,F
192,1,M
193,9,M
194,6,M
195,1,M
196,8,M
197,2,F
198,7,F
199,6,F
200,6,M
201,1,M
202,8,M
203,6,F
204,1,M
205,6,F
206,3,F
207,9,M
208,4,M
209,3,M
210,6,F
211,6,M
212,9,M
213,7,F
214,8,F
215,2,F
216,6,F
217,2,F
218,7,F
219,6,F
220,9,F
221,3,F
222,2,F
223,3,F
224,8,F
225,6,F
226,7,M
227,8,F
228,9,M
229,6,F
230,2,F
231,7,F
232,9,M
233,6,F
234,8,F
235,3,F
236,9,F
237,8,F
238,9,M
239,6,F
240,4,F
241,2,F
242,1,M
243,1,M
244,2,F
245,8,F
246,3,M
247,3,M
248,8,M
249,4,M
250,3,M
251,2,M
252,1,F
253,2,F
254,7,F
255,7,F
256,7,F
257,7,M
258,1,M
259,2,F
260,9,F
261,1,F
262,3,F
263,7,F
264,7,M
265,9,F
266,6,F
267,6,F
268,6,M
269,8,M
270,6,M
271,6,M
272,8,F
273,3,M
274,9,F
275,9,F
276,9,F
277,6,M
278,1,F
279,8,M
280,5,M
281,9,M
282,8,M
283,4,M
284,6,M
285,4,M
286,3,M
287,3,M
288,1,M
289,1,F
290,2,F
291,3,F
292,1,M
293,3,F
294,6,F
295,6,F
296,6,M
297,2,M
298,1,M
299,8,F
300,9,F
301,2,F
302,3,M
303,8,M
304,8,F
305,3,F
306,9,M
307,2,M
308,3,M
309,6,F
310,6,M
311,9,F
312,9,F
313,6,F
314,3,F
315,2,M
316,6,F
317,6,F
318,6,F
319,7,F
320,6,M
321,6,F
322,6,F
323,4,F
324,3,M
325,9,M
326,7,M
327,7,M
328,2,F
329,3,F
330,9,F
331,6,F
332,3,M
333,2,F
334,3,F
335,2,M
336,2,M
337,2,M
338,2,F
339,2,F
340,2,M
341,2,M
342,6,F
343,8,F
344,2,F
345,2,M
346,2,F
347,8,M
348,1,F
349,2,F
350,2,F
351,3,M
352,2,M
353,1,M
354,3,F
355,8,F
356,3,F
357,2,F
358,2,F
359,6,F
360,2,F
361,6,F
362,9,M
363,8,F
364,6,F
365,2,F
366,6,F
367,8,F
368,3,F
369,4,M
370,9,F
371,4,F
372,1,F
373,6,F
374,1,F
375,2,F
376,3,F
377,2,F
378,8,M
379,2,M
380,1,M
381,8,F
382,2,F
383,3,F
384,1,M
385,3,M
386,1,F
387,2,F
388,2,M
389,6,F
390,3,F
391,2,F
392,6,F
393,8,F
394,2,F
395,2,F
396,8,M
397,6,M
398,7,F
399,8,F
400,2,F
401,2,M
402,3,M
403,8,F
404,6,F
405,6,F
406,7,F
407,6,F
408,8,F
409,9,M
410,6,M
411,2,F
412,2,M
413,2,F
414,7,M
415,6,F
416,1,F
417,6,M
418,2,F
419,6,M
420,9,M
421,6,F
422,4,F
423,6,F
424,7,F
425,3,F
426,6,F
427,1,F
428,2,F
429,4,F
430,6,M
431,3,M
432,3,F
433,4,F
434,8,F
435,4,F
436,1,F
437,4,F
438,8,F
439,1,F
440,2,F
441,4,M
442,1,M
443,3,M
444,4,M
445,1,M
446,4,M
447,8,M
448,9,M
449,2,F
450,6,F
451,2,F
452,3,M
453,1,F
454,4,F
455,4,F
456,1,F
457,8,F
458,1,M
459,3,F
460,3,F
461,1,F
462,8,F
463,8,F
464,3,F
465,1,M
466,9,F
467,1,M
468,3,F
469,3,M
470,8,M
471,6,F
472,3,F
473,2,F
474,1,M
475,1,M
476,3,F
477,4,F
478,9,M
479,4,F
480,1,F
481,3,F
482,3,F
483,1,F
484,3,F
485,4,F
486,3,F
487,1,F
488,4,F
489,4,F
490,1,M
491,4,F
492,7,F
493,3,F
494,1,F
495,1,F
496,8,F
497,3,F
498,1,M
499,3,F
500,2,F
501,5,M
502,6,M
503,4,M
504,8,F
505,3,F
506,3,F
507,9,F
508,3,F
509,1,M
510,2,F
511,2,F
512,3,F
513,4,F
514,4,F
515,4,F
516,9,F
517,2,F
518,3,F
519,4,F
520,4,M
521,4,F
522,1,F
523,4,F
524,4,M
525,4,F
526,2,M
527,8,F
528,1,M
529,1,F
530,8,F
531,9,M
532,1,M
533,4,M
534,2,F
535,8,M
536,9,M
537,6,M
538,9,M
539,3,F
540,9,F
541,6,F
542,3,F
543,8,F
544,1,M
545,8,M
546,9,M
547,2,F
548,8,M
549,3,F
550,2,F
551,8,M
552,3,M
553,1,M
554,4,M
555,1,F
556,6,F
557,1,M
558,1,F
559,1,M
560,8,M
561,1,M
562,1,M
563,3,F
564,4,M
565,1,M
566,1,M
567,1,M
568,4,M
569,4,M
570,4,M
571,4,M
572,4,M
573,4,F
574,4,F
575,9,M
576,9,F
577,9,M
578,9,M
579,1,M
580,1,M
581,1,M
582,4,F
583,4,F
584,4,F
585,3,F
586,4,F
587,4,F
588,4,F
589,1,F
590,3,F
591,4,F
592,3,F
593,8,F
594,3,F
595,2,F
596,2,M
597,2,F
598,4,F
599,9,M
600,6,M
601,6,M
602,4,F
603,1,F
604,4,F
605,1,F
606,4,F
607,2,F
608,1,F
609,1,F
610,8,F
611,4,F
612,6,F
613,6,M
614,3,F
615,3,F
616,2,F
617,8,M
618,2,F
619,2,F
620,6,F
621,2,F
622,8,F
623,1,M
624,2,M
625,4,F
626,1,F
627,4,F
628,1,M
629,9,F
630,4,F
631,2,F
632,1,F
633,4,F
634,3,F
635,2,F
636,9,F
637,2,M
638,4,M
639,2,M
640,4,M
641,4,M
642,2,F
643,1,F
644,1,F
645,1,F
646,2,F
647,1,F
648,1,M
649,1,M
