id,cluster_id,protected_attribute
1,1,Male
2,1,Male
3,1,Male
4,1,Male
5,1,Female
6,1,Female
7,1,Female
8,1,Male
9,1,Female
10,1,Male
11,1,Male
12,1,Male
13,1,Female
14,1,Male
15,1,Male
16,1,Male
17,1,Male
18,1,Male
19,1,Female
20,1,Male
21,1,Female
22,1,Male
23,1,Male
24,1,Female
25,1,Male
26,1,Male
27,1,Male
28,1,Male
29,1,Male
30,1,Male
31,1,Male
32,1,Male
33,1,Male
34,1,Male
35,1,Male
36,1,Female
37,1,Male
38,1,Male
39,1,Male
40,1,Male
41,1,Female
42,1,Male
43,1,Male
44,1,Male
45,1,Female
46,1,Male
47,1,Male
48,1,Female
49,1,Female
50,1,Male
51,1,Male
52,1,Male
53,1,Male
54,1,Male
55,1,Male
56,1,Male
57,1,Male
58,1,Male
59,1,Male
60,1,Male
61,1,Male
62,1,Female
63,1,Female
64,1,Male
65,1,Male
66,1,Female
67,1,Male
68,1,Male
69,1,Male
70,1,Male
71,1,Male
72,1,Female
73,1,Male
74,1,Male
75,1,Male
76,1,Female
77,1,Male
78,1,Female
79,1,Female
80,1,Male
81,1,Male
82,1,Male
83,1,Female
84,1,Male
85,1,Female
86,1,Female
87,1,Male
88,1,Male
89,1,Male
90,1,Male
91,1,Female
92,1,Male
93,1,Male
94,1,Male
95,1,Female
96,1,Female
97,1,Male
98,1,Male
99,1,Male
100,1,Female
101,1,Male
102,1,Male
103,1,Male
104,1,Male
105,1,Female
106,1,Female
107,1,Male
108,1,Male
109,1,Male
110,1,Male
111,1,Male
112,1,Female
113,1,Male
114,1,Male
115,1,Male
116,1,Male
117,1,Female
118,1,Female
119,1,Male
120,1,Male
121,1,Female
122,1,Female
123,1,Male
124,1,Male
125,1,Female
126,1,Male
127,1,Male
128,1,Female
129,1,Male
130,1,Male
131,1,Male
132,1,Female
133,1,Male
134,1,Female
135,1,Male
136,1,Female
137,1,Male
138,1,Female
139,1,Male
140,1,Female
141,1,Female
142,1,Female
143,1,Male
144,1,Male
145,1,Male
146,1,Male
147,1,Male
148,1,Male
149,1,Female
150,1,Female
151,1,Female
152,1,Male
153,1,Female
154,1,Male
155,1,Male
156,1,Male
157,1,Female
158,1,Male
159,1,Male
160,1,Male
161,1,Male
162,1,Male
163,1,Female
164,1,Male
165,1,Male
166,1,Male
167,1,Male
168,1,Male
169,1,Female
170,1,Male
171,1,Male
172,1,Male
173,1,Male
174,1,Female
175,1,Female
176,1,Male
177,1,Female
178,1,Male
179,1,Male
180,1,Male
181,1,Male
182,1,Male
183,1,Male
184,1,Female
185,1,Male
186,1,Male
187,1,Female
188,1,Male
189,1,Female
190,1,Female
191,1,Female
192,1,Male
193,1,Male
194,1,Female
195,1,Female
196,1,Male
197,1,Male
198,1,Female
199,1,Male
200,1,Male
201,1,Male
202,1,Female
203,1,Male
204,1,Male
205,1,Male
206,1,Male
207,1,Male
208,1,Male
209,1,Female
210,1,Female
211,1,Male
212,1,Female
213,1,Female
214,1,Male
