id,cluster_id,protected_attribute
1,6,Non-White
2,2,Non-White
3,1,Non-White
4,2,Non-White
5,1,White
6,1,White
7,4,White
8,1,Non-White
9,1,Non-White
10,6,Non-White
11,2,White
12,1,White
13,4,White
14,4,Non-White
15,2,Non-White
16,2,Non-White
17,1,White
18,4,White
19,6,Non-White
20,4,Non-White
21,6,Non-White
22,2,White
23,2,Non-White
24,1,White
25,4,Non-White
26,1,Non-White
27,4,Non-White
28,4,Non-White
29,1,Non-White
30,4,White
31,4,Non-White
32,4,Non-White
33,1,Non-White
34,1,Non-White
35,6,Non-White
36,4,Non-White
37,4,Non-White
38,4,Non-White
39,2,White
40,2,Non-White
41,4,Non-White
42,3,Non-White
43,2,Non-White
44,2,Non-White
45,2,Non-White
46,4,Non-White
47,2,White
48,1,White
49,4,White
50,1,Non-White
51,2,Non-White
52,1,Non-White
53,2,White
54,6,White
55,1,White
56,6,White
57,1,White
58,6,White
59,2,Non-White
60,1,Non-White
61,2,Non-White
62,2,White
63,4,White
64,6,White
65,6,White
66,1,White
67,1,Non-White
68,1,Non-White
69,4,Non-White
70,2,Non-White
71,4,White
72,2,Non-White
73,2,Non-White
74,1,Non-White
75,1,White
76,1,Non-White
77,6,Non-White
78,1,Non-White
79,5,White
80,6,Non-White
81,1,White
82,6,Non-White
83,1,White
84,1,Non-White
85,4,Non-White
86,2,Non-White
87,4,Non-White
88,6,Non-White
89,1,Non-White
90,6,Non-White
91,1,White
92,1,Non-White
93,1,Non-White
94,1,Non-White
95,2,Non-White
96,4,White
97,6,Non-White
98,1,Non-White
99,1,Non-White
100,1,White
101,1,White
102,4,White
103,4,Non-White
104,1,Non-White
105,2,Non-White
106,1,Non-White
107,4,Non-White
108,5,Non-White
109,2,White
110,1,White
111,4,Non-White
112,4,Non-White
113,1,Non-White
114,1,Non-White
115,4,Non-White
116,4,Non-White
117,1,Non-White
118,4,White
119,1,Non-White
120,4,White
121,2,Non-White
122,1,White
123,4,Non-White
124,4,Non-White
125,1,Non-White
126,1,Non-White
127,4,White
128,1,Non-White
129,1,Non-White
130,1,Non-White
131,4,Non-White
132,4,Non-White
133,1,Non-White
134,2,Non-White
135,2,Non-White
136,1,Non-White
137,6,Non-White
138,1,Non-White
139,2,Non-White
140,1,Non-White
141,1,Non-White
142,6,White
143,2,White
144,1,White
145,1,Non-White
146,1,Non-White
147,4,Non-White
148,1,White
149,4,White
150,4,White
151,6,Non-White
152,1,White
153,1,Non-White
154,4,Non-White
155,4,White
156,4,Non-White
157,6,White
158,1,White
159,1,Non-White
160,6,Non-White
161,4,Non-White
162,2,White
163,2,Non-White
164,1,Non-White
165,1,White
166,1,White
167,4,Non-White
168,6,White
169,2,Non-White
170,2,White
171,6,Non-White
172,4,Non-White
173,1,Non-White
174,2,White
175,1,White
176,1,Non-White
177,1,Non-White
178,4,White
179,1,Non-White
180,6,Non-White
181,1,Non-White
182,2,Non-White
183,6,White
184,1,Non-White
185,1,Non-White
186,4,White
187,4,White
188,6,White
189,1,White
190,1,Non-White
191,1,Non-White
192,1,White
193,6,Non-White
194,2,Non-White
195,4,White
196,1,Non-White
197,1,White
198,1,White
199,1,Non-White
200,4,Non-White
201,4,Non-White
202,1,Non-White
203,1,White
204,4,Non-White
205,1,Non-White
206,1,Non-White
207,1,White
208,4,White
209,1,Non-White
210,1,White
211,4,Non-White
212,4,Non-White
213,4,White
214,2,Non-White
215,2,Non-White
216,6,Non-White
217,6,Non-White
218,4,Non-White
219,4,White
220,1,White
221,1,Non-White
222,4,Non-White
223,1,Non-White
224,1,White
225,2,White
226,1,Non-White
227,6,White
228,6,Non-White
229,4,White
230,1,White
231,2,Non-White
232,1,White
233,4,Non-White
234,1,White
235,4,White
236,4,White
237,2,Non-White
238,2,Non-White
239,4,White
240,1,Non-White
241,4,Non-White
242,1,Non-White
243,1,White
244,2,Non-White
245,1,Non-White
246,2,White
247,6,Non-White
248,1,Non-White
249,2,White
250,4,Non-White
251,2,Non-White
252,1,Non-White
253,1,Non-White
254,2,Non-White
255,4,White
256,4,Non-White
257,4,White
258,1,White
259,1,White
260,4,Non-White
261,4,Non-White
262,4,Non-White
263,1,White
264,2,White
265,4,Non-White
266,1,White
267,2,White
268,4,Non-White
269,2,Non-White
270,1,White
271,4,Non-White
272,2,Non-White
273,4,White
274,6,White
275,1,White
276,1,White
277,4,Non-White
278,1,Non-White
279,1,White
280,1,Non-White
281,1,Non-White
282,2,Non-White
283,1,Non-White
284,1,Non-White
285,6,White
286,1,Non-White
287,4,White
288,4,White
289,1,White
290,1,Non-White
291,6,White
292,4,Non-White
293,2,White
294,4,Non-White
295,4,Non-White
296,2,White
297,4,White
298,4,Non-White
299,1,White
300,1,Non-White
301,6,Non-White
302,1,Non-White
303,4,Non-White
304,6,Non-White
305,1,White
306,6,Non-White
307,4,Non-White
308,4,Non-White
309,2,White
310,6,Non-White
311,1,Non-White
312,6,Non-White
313,1,White
314,4,Non-White
315,1,White
316,6,Non-White
317,4,White
318,1,Non-White
319,4,Non-White
320,4,Non-White
321,1,Non-White
322,1,White
323,2,Non-White
324,1,White
325,4,White
326,4,Non-White
327,6,Non-White
328,1,Non-White
329,1,White
330,4,Non-White
331,4,Non-White
332,1,White
333,1,Non-White
334,2,Non-White
335,4,Non-White
336,2,Non-White
337,4,Non-White
338,2,Non-White
339,6,White
340,1,White
341,4,White
342,1,White
343,2,Non-White
344,1,White
345,2,Non-White
346,2,White
347,4,Non-White
348,1,Non-White
349,1,Non-White
350,6,Non-White
351,1,White
352,1,White
353,1,Non-White
354,4,Non-White
355,2,Non-White
356,1,Non-White
357,1,Non-White
358,4,Non-White
359,4,Non-White
360,1,White
361,2,Non-White
362,6,White
363,1,Non-White
364,1,Non-White
365,5,Non-White
366,6,Non-White
367,1,Non-White
368,6,Non-White
369,4,White
370,1,Non-White
371,6,Non-White
372,1,Non-White
373,2,Non-White
374,1,Non-White
375,1,Non-White
376,2,White
377,1,Non-White
378,2,Non-White
379,4,Non-White
380,6,White
381,2,Non-White
382,6,Non-White
383,6,Non-White
384,2,Non-White
385,1,Non-White
386,4,White
387,4,Non-White
388,1,Non-White
389,6,Non-White
390,4,Non-White
391,4,Non-White
392,2,Non-White
393,4,White
394,1,White
395,1,Non-White
396,1,Non-White
397,2,White
398,4,Non-White
399,2,Non-White
400,2,White
401,4,White
402,2,Non-White
403,4,White
404,6,White
405,4,White
406,4,White
407,1,Non-White
408,1,Non-White
409,4,White
410,4,Non-White
411,2,Non-White
412,4,Non-White
413,6,Non-White
414,4,Non-White
415,1,Non-White
416,4,Non-White
417,4,White
418,1,Non-White
419,6,White
420,5,Non-White
421,4,Non-White
422,3,Non-White
423,1,Non-White
424,1,Non-White
425,1,Non-White
426,1,Non-White
427,1,Non-White
428,1,Non-White
429,4,Non-White
430,6,Non-White
431,2,Non-White
432,2,Non-White
433,1,Non-White
434,4,Non-White
435,1,Non-White
436,4,White
437,1,White
438,2,Non-White
439,1,Non-White
440,2,White
441,1,Non-White
442,6,White
443,4,Non-White
444,1,Non-White
445,4,White
446,4,White
447,2,Non-White
448,1,Non-White
449,1,Non-White
450,1,Non-White
451,1,White
452,2,Non-White
453,1,Non-White
454,4,Non-White
455,1,White
456,1,Non-White
457,4,Non-White
458,1,Non-White
459,1,Non-White
460,1,Non-White
461,1,White
462,6,Non-White
463,4,Non-White
464,2,White
465,1,Non-White
466,4,White
467,1,White
468,4,Non-White
469,1,White
470,2,Non-White
471,2,Non-White
472,2,Non-White
473,6,Non-White
474,2,Non-White
475,2,Non-White
476,2,Non-White
477,2,White
478,4,Non-White
479,1,White
480,1,Non-White
481,2,Non-White
482,4,Non-White
483,1,White
484,1,Non-White
485,2,Non-White
486,2,White
487,1,White
488,1,White
489,6,Non-White
490,4,White
491,6,Non-White
492,2,Non-White
493,6,White
494,2,Non-White
495,6,Non-White
496,2,Non-White
497,2,Non-White
498,2,Non-White
499,4,White
500,1,Non-White
501,4,Non-White
502,1,Non-White
503,4,White
504,1,Non-White
505,5,White
506,1,Non-White
507,1,Non-White
508,1,Non-White
509,2,Non-White
510,1,Non-White
511,2,Non-White
512,5,Non-White
513,4,Non-White
514,2,Non-White
515,1,White
516,1,White
517,1,White
518,4,White
519,4,Non-White
520,2,Non-White
521,1,Non-White
522,3,White
