id,cluster_id,protected_attribute
1,1,M
2,2,F
3,1,M
4,2,M
5,2,M
6,2,M
7,2,M
8,2,M
9,2,M
10,2,M
11,1,F
12,2,F
13,1,F
14,1,M
15,1,F
16,1,F
17,1,M
18,2,M
19,2,F
20,2,M
21,1,M
22,1,M
23,1,M
24,1,M
25,1,M
26,1,M
27,1,M
28,1,F
29,1,M
30,2,M
31,1,M
32,2,M
33,2,M
34,1,M
35,1,F
36,2,M
37,2,M
38,1,M
39,1,M
40,1,M
41,1,M
42,1,M
43,2,M
44,2,M
45,2,F
46,1,F
47,1,M
48,1,F
49,2,M
50,1,F
51,1,M
52,2,M
53,1,M
54,2,M
55,1,M
56,1,M
57,2,M
58,2,F
59,1,F
60,2,F
61,1,M
62,1,M
63,1,M
64,2,M
65,2,F
66,2,M
67,1,F
68,1,M
69,1,M
70,1,F
71,2,F
72,1,M
73,1,M
74,2,F
75,1,M
76,1,M
77,2,M
78,2,M
79,2,M
80,2,M
81,2,F
82,1,M
83,1,F
84,1,F
85,1,M
86,1,F
87,1,F
88,2,M
89,1,M
90,1,M
91,1,M
92,1,M
93,1,F
94,2,M
95,1,M
96,2,M
97,1,F
98,1,M
99,1,M
100,2,M
101,1,M
102,1,M
103,1,F
104,1,M
105,1,M
106,2,M
107,2,M
108,2,M
109,2,F
110,1,M
111,1,M
112,1,F
113,2,M
114,2,F
115,1,M
116,2,M
117,2,F
118,1,F
119,2,F
120,1,M
121,1,F
122,2,F
123,1,M
124,1,M
125,1,F
126,1,M
127,1,M
128,1,M
129,1,M
130,2,F
131,2,F
132,2,M
133,1,M
134,1,M
135,2,F
136,1,F
137,2,M
138,1,M
139,1,M
140,1,F
141,1,M
142,2,F
143,2,M
144,1,M
145,1,F
146,2,M
147,1,F
148,1,F
149,2,M
150,1,M
151,1,M
152,1,M
153,2,M
154,2,F
155,2,M
156,1,F
157,1,M
158,1,M
159,2,M
160,1,M
161,2,M
162,1,F
163,1,M
164,2,M
165,1,M
166,2,M
167,1,F
168,1,F
169,2,F
170,1,M
171,1,M
172,1,F
173,1,F
174,1,M
175,2,M
176,2,F
177,1,M
178,1,M
179,1,M
180,1,M
181,2,M
182,2,M
183,1,M
184,2,M
185,1,M
186,1,M
187,2,F
188,1,M
189,1,M
190,2,F
191,2,M
192,2,M
193,2,M
194,1,M
195,2,M
196,1,F
197,1,F
198,1,F
199,1,M
200,2,M
201,1,M
202,1,M
203,2,M
204,1,M
205,1,M
206,2,M
207,1,M
208,1,M
209,2,M
210,1,M
211,2,M
212,2,F
213,2,M
214,1,M
215,2,M
216,1,F
217,2,M
218,2,M
219,2,M
220,1,F
221,1,M
222,1,F
223,1,M
224,2,M
225,2,M
226,1,M
227,2,M
228,2,M
229,1,M
230,2,M
231,2,M
232,1,M
233,1,M
234,1,M
235,1,M
236,1,M
237,2,M
238,1,M
239,1,F
240,1,M
241,1,F
242,1,M
243,2,M
244,1,F
245,2,F
246,1,M
247,1,M
248,1,M
249,1,M
250,1,F
251,1,F
252,1,F
253,1,F
254,2,M
255,1,M
256,2,M
257,1,M
258,1,M
259,2,F
260,1,F
261,1,M
262,1,F
263,2,M
264,1,F
265,1,M
266,1,M
267,2,M
268,1,F
269,2,M
270,1,M
271,1,M
272,1,F
273,2,M
274,2,M
275,2,M
276,1,M
277,1,F
278,1,M
279,2,F
280,1,M
281,2,M
282,1,M
283,1,M
284,1,M
285,2,M
286,2,F
287,2,M
288,2,M
289,1,F
290,1,M
291,1,M
292,2,M
293,2,F
294,2,M
295,2,M
296,2,F
297,2,F
298,1,M
299,1,M
300,1,M
301,1,F
302,2,F
303,1,M
304,1,M
305,2,M
306,1,M
307,2,F
308,1,M
309,1,F
310,1,M
311,2,M
312,2,M
313,2,F
314,1,M
315,1,M
316,1,M
317,1,M
318,2,F
319,1,M
320,2,F
321,2,M
322,1,M
323,2,M
324,1,M
325,1,F
326,2,M
327,2,M
328,1,F
329,2,M
330,1,M
331,2,M
332,1,F
333,2,F
334,2,F
335,2,M
336,2,M
337,1,F
338,1,F
339,2,M
340,1,M
341,2,F
342,2,F
343,2,M
344,2,M
345,2,M
346,1,F
347,1,M
348,2,F
349,1,M
350,1,M
351,1,F
352,1,F
353,2,M
354,2,M
355,1,M
356,1,M
357,1,M
358,2,M
359,1,M
360,1,F
361,1,M
362,2,M
363,1,F
364,1,M
365,1,M
366,1,M
367,2,M
368,2,F
369,2,M
370,2,F
371,2,M
372,2,M
373,1,F
374,2,M
375,2,F
376,2,F
377,1,M
378,1,M
379,2,M
380,1,F
381,1,M
382,2,F
383,1,F
384,1,M
385,2,M
386,1,F
387,1,F
388,2,M
389,1,M
390,1,F
391,1,M
392,1,F
393,2,M
394,1,F
395,1,M
396,2,M
397,1,F
398,1,M
399,1,M
400,1,F
401,1,M
402,1,M
403,2,M
404,1,M
405,2,M
406,1,M
407,1,M
408,1,M
409,2,M
410,1,M
411,1,F
412,2,M
413,1,M
414,1,M
415,1,F
416,2,M
417,1,M
418,2,F
419,1,F
420,1,F
421,2,F
422,1,M
423,1,M
424,1,M
425,1,F
