id,cluster_id,protected_attribute
1,6,F
2,4,F
3,3,F
4,2,F
5,2,F
6,6,M
7,2,M
8,6,F
9,4,M
10,2,M
11,2,F
12,2,F
13,2,M
14,2,M
15,2,M
16,2,F
17,4,F
18,1,F
19,4,M
20,2,M
21,2,M
22,2,M
23,6,M
24,2,M
25,6,F
26,2,F
27,2,M
28,6,M
29,2,M
30,3,M
31,2,M
32,6,M
33,6,M
34,2,M
35,2,M
36,9,F
37,6,M
38,6,M
39,2,F
40,2,F
41,2,F
42,2,M
43,6,M
44,2,M
45,6,F
46,2,F
47,6,F
48,6,M
49,2,M
50,2,F
51,6,F
52,2,F
53,2,M
54,2,F
55,2,F
56,2,F
57,2,F
58,2,M
59,2,M
60,2,F
61,6,F
62,1,F
63,2,F
64,2,F
65,5,F
66,2,F
67,2,M
68,5,F
69,2,F
70,2,F
71,2,M
72,2,M
73,2,F
74,2,M
75,3,F
76,2,M
77,2,M
78,2,F
79,2,M
80,4,F
81,2,M
82,2,M
83,9,F
84,6,M
85,1,F
86,2,F
87,2,F
88,4,F
89,4,M
90,4,M
91,6,F
92,2,F
93,2,F
94,7,F
95,2,M
96,4,F
97,2,M
98,2,F
99,2,F
100,6,F
101,1,M
102,6,M
103,2,M
104,2,F
105,6,M
106,3,F
107,6,F
108,6,M
109,2,M
110,9,F
111,6,M
112,2,F
113,2,F
114,6,M
115,5,M
116,6,M
117,2,M
118,2,M
119,4,M
120,2,M
121,2,F
122,6,M
123,2,F
124,3,M
125,2,F
126,2,M
127,6,F
128,3,F
129,9,M
130,6,M
131,2,F
132,2,F
133,5,F
134,9,F
135,9,M
136,5,F
137,9,M
138,2,F
139,2,M
140,6,F
141,7,M
142,5,M
143,2,F
144,2,F
145,2,M
146,4,F
147,3,F
148,2,F
149,7,M
150,2,M
151,9,M
152,6,M
153,5,F
154,7,M
155,6,F
156,2,M
157,6,M
158,6,F
159,6,M
160,2,M
161,9,M
162,5,M
163,9,M
164,2,M
165,5,M
166,3,M
167,2,M
168,2,F
169,2,F
170,2,F
171,9,M
172,2,M
173,2,M
174,2,F
175,2,F
176,2,M
177,2,F
178,5,M
179,5,M
180,2,M
181,2,M
182,2,M
183,2,F
184,2,F
185,2,F
186,3,M
187,2,M
188,2,M
189,1,F
190,2,M
191,2,F
192,8,F
193,1,M
194,5,M
195,2,M
196,6,F
197,6,M
198,2,M
199,3,F
200,2,F
201,2,F
202,2,F
203,2,F
204,2,F
205,6,F
206,6,F
207,5,F
208,3,F
209,2,F
210,5,F
211,3,F
212,3,M
213,7,F
214,4,M
215,2,F
216,2,F
217,2,F
218,5,M
219,2,F
220,6,F
221,6,F
222,1,F
223,2,F
224,2,M
225,2,F
226,6,F
227,2,F
228,2,M
229,4,M
230,2,F
231,2,F
232,2,M
233,4,M
234,2,M
235,4,M
236,2,M
237,2,M
238,2,F
239,5,F
240,7,M
241,3,M
242,2,M
243,2,M
244,2,M
245,2,F
246,6,M
247,2,M
248,1,M
249,5,M
250,2,M
251,2,M
252,2,M
253,5,M
254,2,M
255,2,M
256,2,M
257,2,F
258,3,M
259,6,M
260,6,F
261,5,F
262,2,M
263,2,M
264,2,F
265,2,F
266,6,M
267,2,M
268,5,F
269,5,M
270,6,F
271,6,F
272,7,F
273,2,F
274,2,M
275,5,F
276,6,F
277,4,F
278,4,M
279,2,F
280,2,M
281,8,M
282,4,M
283,6,F
284,2,F
285,2,F
286,2,M
287,2,F
288,9,F
289,6,M
290,6,M
291,3,M
292,3,F
293,6,F
294,2,F
295,6,M
296,2,M
297,2,F
298,2,F
299,2,F
300,6,M
301,6,F
302,2,M
303,9,F
304,7,F
305,3,M
306,2,F
307,3,M
308,8,M
309,2,M
310,5,F
311,4,F
312,2,F
313,2,M
314,5,F
315,6,F
316,5,F
317,2,F
318,5,F
319,2,F
320,2,F
321,2,F
322,2,F
323,2,F
324,2,F
325,2,F
326,2,M
327,6,M
328,2,M
329,2,F
330,6,F
331,2,M
332,6,F
333,2,F
334,7,F
335,6,F
336,2,F
337,3,F
338,2,F
339,2,F
340,3,F
341,6,F
342,7,M
343,6,M
344,7,F
345,2,F
346,2,F
347,6,M
348,2,M
349,2,F
350,6,M
351,5,M
352,2,M
353,5,M
354,5,M
355,2,M
356,2,F
357,2,F
358,8,F
359,2,M
360,2,F
361,9,F
362,2,M
363,2,F
364,2,F
365,2,F
366,2,M
367,2,M
368,2,F
369,3,F
370,2,F
371,4,F
372,2,M
373,7,F
374,4,F
375,4,F
376,2,F
377,2,F
378,9,F
379,4,F
380,2,F
381,6,M
382,5,M
383,2,M
384,9,M
385,1,M
386,6,F
387,2,F
388,2,F
389,6,F
390,6,F
391,1,M
392,6,M
393,2,M
394,2,M
395,2,M
