grade,preschool,expectBachelors,motherHS,motherBachelors,motherWork,fatherHS,fatherBachelors,fatherWork,selfBornUS,motherBornUS,fatherBornUS,englishAtHome,computerForSchoolwork,read30MinsADay,minutesPerWeekEnglish,studentsInEnglish,schoolHasLibrary,publicSchool,urban,schoolSize,readingScore,gender,0,1,2,3,4,5,6
11,0,0,1,1,1,1,0,1,1,1,1,1,1,1,450,25,1,1,0,1173,575.01,M,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,1,1,0,0,1,1,0,1,1,1,1,1,1,1,200,23,1,1,1,2640,458.11,F,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10,1,0,1,0,1,1,0,0,1,1,0,1,1,1,250,35,1,1,1,1095,613.89,M,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10,1,1,1,0,0,1,0,1,1,1,1,1,1,1,300,30,1,1,0,1913,439.36,F,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,1,1,1,1,1,0,0,1,1,1,1,1,1,0,294,24,1,1,0,899,465.9,M,0.0,0.0,0.0,0.0,1.0,0.0,0.0
10,1,1,1,0,1,1,0,0,0,0,0,0,0,1,232,14,1,1,0,1733,508.95,F,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10,1,1,1,0,1,1,1,1,1,1,1,1,1,1,225,20,1,1,0,149,646.38,F,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,1,0,0,0,0,0,0,1,0,0,0,0,1,1,270,25,1,1,1,1400,403.77,F,0.0,0.0,0.0,1.0,0.0,0.0,0.0
11,1,1,1,0,0,1,1,1,1,1,1,1,1,0,275,30,1,1,1,1988,423.73,M,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9,1,1,1,1,1,1,1,1,1,1,1,1,1,0,225,15,1,0,1,915,646.6,M,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11,1,1,1,1,1,1,0,1,1,1,1,1,1,1,250,20,1,1,0,636,532.86,F,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,1,1,1,1,1,1,0,1,1,1,1,1,1,0,250,12,1,1,0,854,547.32,F,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,1,1,1,1,1,1,1,0,1,1,1,1,1,1,315,40,1,1,1,2999,569.32,M,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,0,1,1,0,1,1,1,1,1,1,1,1,1,0,225,30,1,1,0,2748,563.55,M,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9,1,1,1,0,1,1,0,0,1,1,1,1,0,1,235,32,1,1,0,149,493.38,F,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,1,1,1,0,1,1,0,1,1,1,1,1,1,1,600,30,1,1,0,361,472.41,F,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10,1,1,1,1,0,1,1,1,0,1,0,1,1,1,240,26,1,0,1,575,513.72,F,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11,1,1,1,0,0,1,0,0,1,1,1,1,1,0,1296,30,1,1,1,3261,577.9,M,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10,0,1,1,1,1,1,0,1,1,1,1,1,1,1,300,30,1,1,0,2340,555.85,M,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,1,1,1,1,0,1,0,1,1,1,1,1,1,1,250,25,1,1,0,1913,649.65,M,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,1,1,1,1,1,1,0,1,1,1,1,1,1,0,90,20,1,1,0,2569,596.41,M,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9,0,1,1,1,0,1,1,1,1,1,1,1,1,1,180,25,1,0,1,1212,561.94,M,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11,0,1,1,0,1,1,0,1,1,1,1,1,1,1,250,25,1,1,0,509,637.65,F,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,1,1,1,0,1,1,0,1,1,1,1,1,1,0,315,25,1,1,0,899,488.43,M,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10,0,1,1,1,1,1,1,1,1,1,1,1,1,0,270,25,1,1,0,1526,490.68,F,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10,1,1,1,0,1,1,1,1,1,1,1,1,1,1,225,25,1,1,0,276,591.57,F,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,1,1,1,0,0,1,0,1,1,1,1,1,0,1,225,30,1,1,0,1250,444.29,F,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10,1,1,1,1,0,1,1,1,0,1,1,1,1,0,250,30,1,1,0,2878,639.55,F,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,1,1,1,0,0,1,0,1,1,1,1,1,0,1,225,25,1,1,0,276,453.9,F,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11,1,1,1,0,1,1,1,1,1,1,1,1,1,0,290,12,1,1,0,929,566.75,M,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,1,1,1,1,1,1,0,0,1,1,1,1,1,0,225,6,1,1,0,1897,494.04,M,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10,1,1,1,0,1,0,0,1,1,1,1,1,1,0,200,14,1,1,1,2640,506.15,M,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10,1,1,1,1,0,1,1,1,1,1,1,1,1,1,460,27,1,1,0,1087,637.33,F,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,232,25,1,1,0,2710,614.85,F,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11,1,1,0,0,0,0,0,1,1,0,0,1,1,0,70,25,1,1,0,1101,416.09,F,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10,0,0,1,0,1,0,0,1,1,1,1,1,0,1,275,25,1,1,0,2000,570.04,M,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,1,0,1,0,1,1,0,0,1,1,1,1,1,0,225,25,1,1,1,1046,505.58,M,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,1,1,1,0,1,1,0,1,1,1,1,1,0,0,270,22,1,1,0,196,548.55,M,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,0,1,1,0,0,1,0,1,1,1,1,1,1,1,225,25,1,1,0,1375,497.12,F,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9,1,1,1,0,0,1,0,0,1,1,1,1,0,0,40,13,1,1,0,1380,401.15,F,0.0,0.0,0.0,0.0,1.0,0.0,0.0
10,1,1,1,0,1,1,0,1,1,0,1,1,1,1,205,25,1,1,1,673,493.62,F,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11,1,1,1,0,0,1,0,1,1,1,1,1,1,0,300,40,0,1,1,3138,566.39,F,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,1,1,1,1,1,1,1,1,1,1,1,1,1,0,225,18,1,0,1,1212,398.24,M,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11,1,1,1,0,1,1,0,1,0,0,0,0,1,0,50,20,1,1,1,1723,467.35,M,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10,1,1,1,1,1,1,1,1,1,1,1,1,1,0,200,20,1,1,0,1680,589.66,F,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,1,1,1,1,1,1,1,1,1,1,1,1,1,0,240,17,1,0,1,575,608.6,M,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11,0,1,1,1,0,1,0,1,0,0,0,1,1,0,50,20,1,1,0,868,644.16,F,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10,0,1,0,0,1,0,0,1,1,0,0,0,0,1,450,16,1,1,0,3004,514.04,F,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10,1,1,1,0,1,1,0,0,1,0,0,1,1,0,300,30,1,1,1,3261,616.22,M,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10,1,1,1,1,1,1,0,0,1,1,1,1,1,0,300,25,1,1,1,1276,426.89,F,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11,1,0,1,0,1,0,0,1,0,0,0,0,1,0,270,25,1,1,0,1489,449.61,F,0.0,0.0,0.0,1.0,0.0,0.0,0.0
9,0,1,1,0,0,1,0,1,1,1,1,1,1,0,270,30,1,1,0,1900,429.67,M,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10,0,0,1,0,0,1,1,1,1,0,1,1,1,1,600,20,1,1,1,1720,658.86,F,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,190,25,1,1,0,1087,604.36,F,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9,0,0,1,1,1,0,0,0,1,1,1,1,1,0,225,25,1,1,1,1062,432.79,M,1.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1,1,1,0,0,1,0,0,1,1,1,1,1,0,290,33,1,1,0,754,551.53,F,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,0,1,0,0,1,0,0,0,1,0,1,1,1,0,360,30,1,1,1,2886,531.96,M,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,20,1,1,0,820,443.26,F,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11,1,1,1,0,1,1,1,1,1,1,1,1,1,0,270,20,1,1,0,979,522.14,F,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,1,0,1,0,0,1,1,1,1,1,1,1,1,1,344,15,1,1,0,247,474.72,M,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11,0,1,1,1,1,1,1,1,0,0,0,0,1,1,285,29,1,1,0,2000,692.86,M,0.0,1.0,0.0,0.0,0.0,0.0,0.0
11,0,0,0,0,1,1,0,1,1,0,1,1,0,0,180,20,1,1,0,808,320.48,M,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,1,1,1,0,1,1,1,0,1,1,1,1,1,1,205,30,1,1,0,1828,316.63,M,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,1,1,1,0,1,1,1,1,1,0,0,0,1,0,225,20,1,1,0,2098,531.24,M,0.0,1.0,0.0,0.0,0.0,0.0,0.0
11,1,1,1,0,1,1,0,0,1,1,1,1,1,0,200,36,1,1,0,1733,604.44,F,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11,0,1,1,0,0,1,1,1,0,0,0,1,1,1,550,25,1,1,0,2000,667.04,F,0.0,1.0,0.0,0.0,0.0,0.0,0.0
10,0,0,1,0,0,0,0,1,1,1,1,1,1,0,420,28,0,1,1,626,367.06,M,0.0,0.0,0.0,1.0,0.0,0.0,0.0
11,0,1,1,0,1,1,0,1,1,1,1,1,1,0,160,23,1,0,1,1212,577.9,M,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,1,1,1,1,1,1,1,1,1,1,1,1,1,0,225,20,1,1,0,2098,580.45,F,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,1,1,1,0,1,1,1,1,1,1,1,1,1,1,225,25,1,1,0,854,459.86,F,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11,1,1,1,0,1,1,0,1,1,0,1,1,1,1,360,36,1,1,1,2942,544.95,M,0.0,0.0,0.0,1.0,0.0,0.0,0.0
11,1,1,1,1,1,1,1,1,1,0,0,1,1,0,180,25,1,0,1,570,606.27,M,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10,1,1,0,0,1,0,0,1,0,0,0,0,1,0,225,25,1,1,1,3000,349.6,F,0.0,1.0,0.0,0.0,0.0,0.0,0.0
