Oral,Written,Combine,Race,0,1
89.52,95,92.808,White,1.0,0.0
80.0,95,89.0,White,1.0,0.0
82.38,87,85.152,White,1.0,0.0
88.57,76,81.028,White,1.0,0.0
76.19,84,80.876,White,1.0,0.0
76.19,82,79.676,Non-White,1.0,0.0
76.19,82,79.676,White,1.0,0.0
70.0,84,78.4,Non-White,1.0,0.0
73.81,81,78.124,White,1.0,0.0
84.29,72,76.916,White,1.0,0.0
87.62,69,76.44800000000001,White,1.0,0.0
80.0,74,76.4,White,1.0,0.0
79.05,74,76.02,Non-White,1.0,0.0
73.81,77,75.72399999999999,White,1.0,0.0
76.67,74,75.068,White,1.0,0.0
82.38,70,74.952,Non-White,1.0,0.0
73.33,74,73.732,White,1.0,0.0
70.0,76,73.6,White,1.0,0.0
68.57,74,71.828,Non-White,1.0,0.0
82.38,64,71.352,White,1.0,0.0
56.67,81,71.268,White,1.0,0.0
70.95,70,70.38,Non-White,1.0,0.0
62.38,75,69.952,White,1.0,0.0
78.57,64,69.828,White,1.0,0.0
71.43,68,69.372,White,1.0,0.0
71.43,68,69.372,White,1.0,0.0
59.05,76,69.22,White,1.0,0.0
60.48,75,69.192,Non-White,1.0,0.0
57.14,75,67.85600000000001,White,1.0,0.0
52.38,77,67.152,Non-White,1.0,0.0
67.14,65,65.85600000000001,Non-White,1.0,0.0
55.24,68,62.896,White,1.0,0.0
58.57,65,62.428,Non-White,1.0,0.0
48.57,69,60.828,White,1.0,0.0
67.62,56,60.648,Non-White,1.0,0.0
57.14,61,59.456,Non-White,1.0,0.0
70.48,50,58.192,Non-White,1.0,0.0
42.86,67,57.344,Non-White,1.0,0.0
53.81,58,56.324,White,1.0,0.0
60.0,53,55.8,Non-White,1.0,0.0
54.76,49,51.304,Non-White,1.0,0.0
88.75,91,90.1,White,0.0,1.0
87.5,87,87.2,White,0.0,1.0
77.5,91,85.6,White,0.0,1.0
85.0,84,84.4,White,0.0,1.0
80.0,87,84.2,White,0.0,1.0
73.75,91,84.1,White,0.0,1.0
80.83,84,82.73200000000001,White,0.0,1.0
73.33,89,82.73200000000001,White,0.0,1.0
63.75,95,82.5,White,0.0,1.0
68.33,91,81.932,White,0.0,1.0
69.58,86,79.432,White,0.0,1.0
73.75,81,78.1,White,0.0,1.0
58.75,89,76.9,White,0.0,1.0
77.5,76,76.6,Non-White,0.0,1.0
61.25,86,76.1,Non-White,0.0,1.0
80.42,73,75.968,Non-White,0.0,1.0
74.17,77,75.868,White,0.0,1.0
63.33,83,75.132,White,0.0,1.0
87.5,66,74.6,White,0.0,1.0
65.83,80,74.332,Non-White,0.0,1.0
78.33,70,73.332,White,0.0,1.0
70.83,74,72.732,Non-White,0.0,1.0
66.67,76,72.268,White,0.0,1.0
92.08,59,72.232,Non-White,0.0,1.0
72.5,72,72.2,White,0.0,1.0
73.33,71,71.932,White,0.0,1.0
55.0,82,71.2,Non-White,0.0,1.0
69.17,72,70.868,Non-White,0.0,1.0
65.83,74,70.732,White,0.0,1.0
58.33,79,70.732,White,0.0,1.0
53.75,82,70.7,Non-White,0.0,1.0
77.5,66,70.6,White,0.0,1.0
73.75,68,70.3,White,0.0,1.0
71.67,69,70.068,White,0.0,1.0
64.58,73,69.632,White,0.0,1.0
70.83,68,69.132,Non-White,0.0,1.0
73.75,66,69.1,White,0.0,1.0
58.75,76,69.1,White,0.0,1.0
51.25,80,68.5,White,0.0,1.0
62.5,72,68.2,Non-White,0.0,1.0
51.67,79,68.068,White,0.0,1.0
70.83,65,67.332,Non-White,0.0,1.0
64.58,69,67.232,White,0.0,1.0
79.17,59,67.068,White,0.0,1.0
56.25,73,66.3,Non-White,0.0,1.0
55.0,73,65.8,White,0.0,1.0
66.25,65,65.5,Non-White,0.0,1.0
50.42,75,65.168,White,0.0,1.0
57.5,70,65.0,Non-White,0.0,1.0
69.17,60,63.668,Non-White,0.0,1.0
51.67,71,63.268,Non-White,0.0,1.0
71.67,57,62.868,White,0.0,1.0
50.42,71,62.768,Non-White,0.0,1.0
56.25,66,62.1,White,0.0,1.0
56.67,64,61.068000000000005,Non-White,0.0,1.0
56.25,64,60.9,Non-White,0.0,1.0
42.5,73,60.8,Non-White,0.0,1.0
51.25,67,60.7,Non-White,0.0,1.0
55.0,64,60.4,Non-White,0.0,1.0
51.25,66,60.1,Non-White,0.0,1.0
49.58,67,60.032,White,0.0,1.0
60.0,60,60.0,White,0.0,1.0
46.25,68,59.3,Non-White,0.0,1.0
60.83,58,59.132,Non-White,0.0,1.0
57.92,58,57.968,White,0.0,1.0
51.25,62,57.7,White,0.0,1.0
44.58,66,57.432,White,0.0,1.0
44.17,66,57.268,Non-White,0.0,1.0
45.42,65,57.168,White,0.0,1.0
55.83,58,57.132,Non-White,0.0,1.0
54.58,58,56.632,White,0.0,1.0
58.75,55,56.5,Non-White,0.0,1.0
40.83,64,54.732,Non-White,0.0,1.0
52.08,56,54.432,Non-White,0.0,1.0
48.33,58,54.132,Non-White,0.0,1.0
52.92,49,50.568000000000005,Non-White,0.0,1.0
45.83,46,45.932,Non-White,0.0,1.0
